Yohan;1234567891;29383;9876;01023900928
Yohan;2012414140;~;~;01023900928
|진짜에요;2013546854;|아니 진짜라니깐요?;2021;01035465465
Chris Brown;2019123400;Math;2000;01012345678
Sumsum;2021111111;~;~;01012345678
Shinyohan;2021151515;Software;1945;01045678945
|한국어 입력받;2021342587;|한국어 좋아요;2002;01034564422
Kimdohyeon;2021342800;Capstone Design 2;2002;01042770929
Kimdohyeon;2021375684;~;2231;01023900928
|김윤진;2021458465;|소프트웨어 소프트웨어어어얽;2001;01034568468
|박상우;2021487632;|소프트웨어입니다;2002;01034565486
Kimyunjin;2021554500;SW;2001;~
Real final;2021554502;Computer Science And Ecgineering;2001;01075565776
Yunjin3;2021554514;Comp Sci;2001;99
Final tunjin;2021554544;Comp Science;2001;01075565776
Gasdfsdf;2021666666;SWSW;2001;01032123212
Kimdokimdo;2021740685;SWSWSWSWSW;2001;01043205465
Very long dept;2021768999;Looooooooooooooooooooooooooooooooooooooooooooooooooooooooong;7777;01077777777
|배수민;2024355545;|소프트웨어학부;2012;01011232221
